rank,drug_a,drug_b,priority_score,p_empirical,q_value,permutation_z,signed_reversal,reversal_efficiency,reversal_gain_over_best_single,counter_therapeutic,gene_coverage,pathway_coverage,axis_coverage,target_complementarity,compartment_complementarity,cns_reach,regimen_compatibility,network_separation,proximity_z_a,proximity_z_b,complementary_exposure,evidence_score,uncertainty,safety_union,safety_overlap,worst_risk_domain,same_mechanism,shared_safety_class,redundant_targets,excluded_from_primary_ranking,pareto_optimal
436,High-dose biotin,Orelabrutinib,1.1912,0.00249,0.00837,3.321,0.0424,0.34,0.02,0.0,0.1246,0.5,0.8,1.0,0.75,0.6,1.0,0.3667,-0.7599,-2.8405,True,0.3333,0.55,0.1137,0.0,infection,False,False,False,False,False
437,Elezanumab,Teriflunomide,1.191,0.00249,0.00837,3.2156,0.0526,0.3152,0.0241,0.0,0.1669,0.5,0.8,1.0,0.75,0.4,0.6867,0.3571,-2.7183,-3.0107,True,0.3333,0.425,0.2412,0.0029,teratogenicity,False,False,False,False,False
438,Fingolimod,Simvastatin,1.1909,0.01496,0.02705,1.9186,0.05,0.3098,0.0202,0.0,0.1614,0.7,0.8,1.0,0.5,0.6,0.7333,0.0625,-1.9414,-1.7856,True,0.6667,0.35,0.3484,0.0124,infection,False,False,False,False,False
439,Elezanumab,Pioglitazone,1.1908,0.00249,0.00837,4.1522,0.0535,0.3169,0.025,0.0,0.1688,0.6,0.8,1.0,0.75,0.4,0.82,0.0714,-2.7183,-2.6661,True,0.3333,0.6,0.1343,0.0,cardiac,False,False,False,False,False
440,Epigallocatechin gallate,Minocycline,1.1908,0.00249,0.00837,2.6252,0.0611,0.3991,0.0117,0.0,0.1531,0.5,0.6,0.9286,0.75,0.7,1.0,-0.0556,-1.555,-3.6179,False,0.3333,0.6,0.1532,0.0154,hepatic,False,False,False,False,False
441,Pioglitazone,Siponimod,1.1908,0.00249,0.00837,3.0878,0.0609,0.3464,0.0225,0.0,0.1759,0.8,0.8,0.8667,0.5,0.65,1.0,-0.05,-2.6661,-2.5366,False,0.3333,0.425,0.3225,0.0393,cardiac,False,False,False,False,False
442,Metformin,Natalizumab,1.1898,0.00249,0.00837,3.1644,0.0676,0.3746,0.0272,0.0,0.1805,0.5,0.6,1.0,0.5,0.4,0.6867,0.2917,-1.6488,-3.0541,True,0.3333,0.35,0.2255,0.0,infection,False,False,False,False,False
443,Ibudilast,Simvastatin,1.1897,0.05486,0.06865,1.5634,0.0566,0.4145,0.0163,0.0,0.1366,0.5,0.6,0.7692,0.75,0.7,1.0,-0.381,-4.4103,-1.7856,False,0.3333,0.45,0.1388,0.0082,hepatic,False,False,False,False,False
444,Ofatumumab,Teriflunomide,1.1897,0.06983,0.08242,1.4303,0.0642,0.4466,0.0241,0.0,0.1437,0.4,0.4,1.0,0.5,0.4,0.6867,0.1964,-2.3838,-3.0107,True,1.0,0.225,0.3471,0.0294,infection,False,False,False,False,False
445,Ozanimod,Ublituximab,1.1897,0.0399,0.05461,1.5399,0.0609,0.53,0.0218,0.0,0.115,0.3,0.2,1.0,0.5,0.5,0.6867,0.3143,-1.8533,-2.5884,True,1.0,0.25,0.2912,0.0392,infection,False,False,False,False,True
446,Mycophenolate mofetil,Opicinumab,1.1896,0.00249,0.00837,4.0692,0.0704,0.387,0.0207,0.0,0.1819,0.4,0.4,1.0,1.0,0.2,0.6867,0.6889,-2.0615,-0.7473,True,0.3333,0.55,0.2627,0.0059,infection,False,False,False,False,False
447,Secukinumab,Tolebrutinib,1.1893,0.00249,0.00837,2.4425,0.0678,0.433,0.025,0.0,0.1565,0.5,0.4,1.0,0.5,0.8,0.6867,0.2,-1.895,-3.3227,True,0.3333,0.425,0.2093,0.024,infection,False,False,False,False,False
448,Elezanumab,Ponesimod,1.1889,0.00249,0.00837,3.0529,0.0486,0.349,0.0201,0.0,0.1392,0.4,0.6,1.0,1.0,0.45,0.6867,0.3393,-2.7183,-1.5016,True,0.3333,0.425,0.1598,0.0039,infection,False,False,False,False,False
449,Clemastine,Daclizumab,1.1888,0.00249,0.00837,3.681,0.0667,0.4093,0.019,0.0019,0.163,0.2,0.4,1.0,1.0,0.75,0.6867,0.5694,-0.7049,-2.1815,True,0.3333,0.425,0.3755,0.0039,autoimmunity,False,False,False,False,False
